month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Jan15,1,1,7935.250212285045,5191.012342178383,11671.872,8935.234,1368.319,0.11723218006503155,-7.26,9222.347796717679,6032.994544079716,8935.234
Jan15,2,2,9085.288234731765,6489.940390358621,11063.5,8273.324,1395.088,0.12609825100555883,-17.75,10558.921986405256,7542.608721674788,8273.324
Jan15,3,3,9334.899670338922,6567.62087083685,10934.716,8163.428,1385.644,0.12671970630055687,-14.63,10849.020396867894,7632.888976086587,8163.428
Jan15,4,4,8553.739676355075,5770.379638216946,11499.812,8721.472,1389.17,0.12079936611137644,-11.86,9941.156251859868,6706.335215535733,8721.472
Jan15,5,5,7194.254863261662,4928.498039516737,11687.104,8924.165999999997,1381.469,0.11820456119839441,-3.44,8361.163002082703,5727.900421526351,8924.165999999997
Jan15,6,6,6434.871650338974,4460.799665201235,10437.072,7820.946,1308.063,0.12532854041823224,-3.17,7478.607832023955,5184.341370896876,7820.946
Jan15,7,7,6440.465725897342,4501.392808826386,10483.032,7888.957999999999,1297.037,0.12372727661233889,0.05,7485.10926663789,5231.5187224180245,7888.957999999999
Jan15,8,8,6552.407180351639,4623.434447037571,10196.608,7622.678,1286.965,0.12621501189415146,-0.79,7615.207625004674,5373.355514347064,7622.678
Jan15,9,9,7651.528522468543,5709.288658365723,10096.236,7420.904000000001,1337.666,0.13249155427824783,-7.81,8892.60644881294,6635.335278752643,7420.904000000001
Jan15,10,10,8285.44310421029,7713.722252320194,9811.764,7112.966,1349.399,0.13752868495410203,-17.11,9629.341975713198,8964.888001646528,7112.966
Jan15,11,11,7299.621081687502,8663.139697888095,9093.872,6420.423999999999,1336.724,0.1469917324545584,-13.77,8483.619621137213,10068.300956885543,6420.423999999999
Jan15,12,12,7307.528197204817,6957.877625436676,9717.96,7053.657999999999,1332.151,0.13708134217469511,-11.67,8492.809270791438,8086.445376282504,7053.657999999999
Jan15,13,13,7819.7433957435505,5232.832382106618,10212.252,7535.878000000001,1338.187,0.13103740487406693,-9.92,9088.105774533155,6081.597794484311,7535.878000000001
Jan15,14,14,7492.8338606648485,5231.723156810082,10004.62,7329.63,1337.495,0.13368773626584515,-4.78,8708.171512864687,6080.308652844677,7329.63
Jan15,15,15,6914.243691031247,5372.709920353691,10057.496,7433.288,1312.104,0.1304603054279117,-4.78,8035.734017716515,6244.163469435059,7433.288
Jan15,16,16,6924.094121472659,5105.658286445586,9971.06,7285.747999999999,1342.656,0.13465529241625263,-5.86,8047.182187975523,5933.796060507059,7285.747999999999
Jan15,17,17,7404.473041003784,5833.252425217416,10000.64,7361.227999999999,1319.706,0.13196215442211698,-8.0,8605.478568254597,6779.405968587681,7361.227999999999
Jan15,18,18,7427.335842445873,5636.102425325042,9877.12,7231.684,1322.718,0.13391737672519924,-9.82,8632.049716090592,6550.278238712763,7231.684
Jan15,19,19,7088.418927553597,5071.557271160755,10065.276,7377.014,1344.131,0.13354139518876582,-5.71,8238.16047760279,5894.163860543029,7377.014
Jan15,20,20,7090.13351783088,4965.015376280455,10071.364,7391.242,1340.061,0.13305655519947446,-4.3,8240.153174423049,5770.3408703131445,7391.242
Jan15,21,21,8217.846098861108,5965.07728210386,9716.94,7045.755999999999,1335.592,0.13744985561298104,-12.71,9550.780736096378,6932.612817261105,7045.755999999999
Jan15,22,22,7815.919942563608,8252.69692837892,9371.384,6679.298000000001,1346.043,0.14363332032920642,-13.84,9083.662157247425,9591.28437016198,6679.298000000001
Jan15,23,23,6419.33447509673,10026.85943616265,9387.236,6636.610000000001,1375.313,0.14650883391021596,-26.21,7460.550526957419,11653.21603670823,6636.610000000001
Jan15,24,24,6486.936939154751,9985.775868202798,9455.504,6752.880000000001,1351.312,0.14291274161588846,-32.15,7539.11811068565,11605.46871402529,6752.880000000001
Jan15,25,25,6825.89349557771,9930.338089618339,9465.3,6671.163999999999,1397.068,0.14759891392771493,-31.17,7933.053420560414,11541.038927754433,6671.163999999999
Jan15,26,26,7167.652747557965,10065.81722607559,9436.588,6538.802,1448.893,0.1535399235401609,-31.8,8330.246023211866,11698.492780145049,6538.802
Jan15,27,27,6767.6964668743685,10044.770480110012,9425.46,6690.915999999999,1367.272,0.14506156728690164,-27.63,7865.416833801391,11674.032251983854,6690.915999999999
Jan15,28,28,6455.017511399843,9508.769196658272,8484.3,5888.353999999999,1297.973,0.1529852786912297,-25.11,7502.021351748896,11051.091560356243,5888.353999999999
Jan15,29,29,6259.898622127872,9413.449006885647,9235.064,6526.634,1354.215,0.1466383990408729,-23.21,7275.254178637012,10940.310435802498,6526.634
Jan15,30,30,6316.195757992533,9185.662412433923,9429.38,6664.977999999999,1382.201,0.14658450502578113,-22.61,7340.682709938921,10675.576855730706,6664.977999999999
Jan15,31,31,6154.269407207844,9801.893134874716,9562.884,6002.780000000008,1780.051999999996,0.18614175388930745,-24.02,7152.491905056955,11391.760201351393,6002.780000000008
Feb15,1,32,6337.066139164749,9786.225805056325,9539.676,6813.554,1363.061,0.14288336417295514,-20.17,7364.938266937271,11373.55163063646,6813.554
Feb15,2,33,6116.237504258323,9721.823838769573,9544.524,6799.98,1372.272,0.1437758446623425,-18.69,7108.291227449022,11298.703665417997,6799.98
Feb15,3,34,5780.684094327598,9302.0801582062,8676.504,6062.478000000001,1307.013,0.15063820635592398,-21.67,6718.311054427534,10810.877559867244,6062.478000000001
