Bound,min,max,minMW(50%),maxMW
B1,2649.8844000000004,5299.768800000001,110.41185000000002,220.82370000000003
B2,2649.8844000000004,5299.768800000001,110.41185000000002,220.82370000000003
B3,3486.69,6973.38,145.27875,290.5575
B4,3486.69,6973.38,145.27875,290.5575
B5,3486.69,6973.38,145.27875,290.5575
B6,3486.69,6973.38,145.27875,290.5575
B7,3486.69,6973.38,145.27875,290.5575
B8,3486.69,6973.38,145.27875,290.5575
T1,600.0,1320.0,25.0,55.0
T2,600.0,1440.0,25.0,60.0
T3,480.0,1200.0,20.0,50.0
T4,480.0,1200.0,20.0,50.0
T5,480.0,1200.0,20.0,50.0
T6,600.0,1680.0,25.0,70.0
