excel_row,A,B,C,D,E,F,G
1,"Coefficients, ranges of values and definitions of linear equations in the graph of heat load by x and steam flow by y.",,,,,,
2,Lines at heating water temperature:,k_HQ,b_HQ,H_lb,H_ub,Q_lb,Q_ub
3,75oС ,1.256634,23.4163,0,18.89415,23.908,47.1593
4,,1.793944,13.2643,18.89415,45.98765,47.1593,95.7635
5,,2.63428,-25.3809,45.98765,68.0785,95.7635,153.957
6,,2.8508,-40.1205,68.0785,79.368,153.957,186.141
7,,2.85806,-40.6973,79.368,87.963,186.141,210.706
8,,2.65478,-22.816,87.963,115.574,210.706,284.007
9,,2.79176,-38.6482,115.574,186.1545,284.007,481.051
10,90oC,1.164746,27.6238,0,15.64445,28.5057,45.8456
11,,1.525074,21.9866,15.64445,28.5648,45.8456,65.5501
12,,1.781708,14.6559,28.5648,38.8868,65.5501,83.9409
13,,2.414678,-9.95747,38.8868,60.1035,83.9409,135.172
14,,2.88632,-38.3056,60.1035,74.2125,135.172,175.895
15,,2.61848,-18.4293,74.2125,115.701,175.895,284.532
16,100oC,1.253592,32.1855,0,15.61235,33.1034,51.757
17,,1.525072,27.947,15.61235,27.24065,51.757,69.491
18,,1.94012,16.6408,27.24065,43.3551,69.491,100.755
19,,2.45814,-5.8177,43.3551,70.6095,100.755,167.75
20,,2.58988,-15.1208,70.6095,115.701,167.75,284.532
21,,2.77962,-37.0736,115.701,171.656,284.532,440.066
22,110oC,1.3571,37.0494,0,17.1293,38.358,60.2956
23,,1.803736,29.3989,17.1293,39.706,60.2956,101.018
24,,2.33594,8.26756,39.706,69.6795,101.018,171.034
25,,2.57494,-8.38682,69.6795,104.6255,171.034,261.018
26,,2.64704,-15.9289,104.6255,144.823,261.018,367.422
27,,2.85536,-46.1006,144.823,184.848,367.422,481.708
28,120oC,1.461026,44.5542,0,21.4737,45.7143,75.9278
29,,1.91818,34.7374,21.4737,46.7441,75.9278,124.401
30,,2.22368,20.4573,46.7441,58.9725,124.401,151.593
31,,2.53704,1.97772,58.9725,129.6495,151.593,330.903
32,,2.79336,-31.2553,129.6495,167.506,330.903,436.65
33,,2.8133,-34.5956,167.506,183.2885,436.65,481.051
34,125oC,1.51122,48.4875,0,24.67705,49.6552,85.78
35,,1.955518,37.5236,24.67705,48.52445,85.78,132.414
36,,2.38512,16.6778,48.52445,73.0885,132.414,191.002
37,,2.54678,4.86148,73.0885,109.71,191.002,284.269
38,,2.64664,-6.09397,109.71,150.807,284.269,393.038
39,,2.81312,-31.2012,150.807,180.319,393.038,476.059
