excel_row,J,K,L,M,N,O,P
1,"Coefficients, ranges and definitions of linear equations in the graph of power by x and steam flow by y.",,,,,,
2,Lines at heating water temperature:,k_EH,b_EH,E_lb,E_ub,Q_lb,Q_ub
3,Kond.regime ,2.93142,23.3826,0,30.9203,23.3826,114.023
4,Kond.regime ,3.30955,11.6907,30.9203,69.6201,114.023,242.102
5,Kond.regime ,3.77379,-20.6297,69.6201,111.217,242.102,399.08
6,Kond.regime ,5.55876,-219.149,111.217,120.339,399.08,449.787
7,75deg,3.70277,26.1948,0,51.74639,26.0099,217.8
8,75deg,3.8989,16.046,51.74639,76.34185,217.8,313.695
9,75deg,4.35116,-18.4806,76.34185,115.7401,313.695,485.123
10,90deg,3.61907,28.4823,0,23.0771,29.1626,112.184
11,90deg,3.93333,21.214,23.0771,63.3717,112.184,270.476
12,90deg,4.15801,6.97533,63.3717,91.9,270.476,389.097
13,90deg,4.49528,24.0193,91.9,102.604,389.097,485.255
14,100deg,3.93177,34.1678,0,50.74754,34.4171,233.695
15,100deg,4.3619,4.14883,84.24704,101.8192,371.626,463.317
16,100deg,4.47461,7.71601,101.8192,106.6631,463.317,484.992
17,110oC,4.16125,37.9869,0,71.9382,37.8325,337.34
18,110oC,4.3681,23.1071,71.9382,90.1324,337.34,416.814
19,110oC,4.62065,0.343567,90.1324,105.058,416.814,485.78
20,120oC,4.30634,45.8186,0,56.5922,45.5829,289.524
21,120oC,4.48887,35.4891,56.5922,84.6857,289.524,415.632
22,120oC,4.57339,28.3316,84.6857,99.7942,415.632,484.729
23,125oC,4.45127,49.7484,0,82.0797,49.5238,415.107
24,125oC,4.63998,34.2587,82.0797,97.0845,415.107,484.729
