excel_row,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,,av.Eff of CHP,0.8514,0.8571,0.8578,0.8506,0.8647,0.8656,0.8667,0.8644,0.8732,0.8556,0.8691,0.8527
2,av.Eff of Boilers,,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
3,0.8547,B1,0.7041186046511627,0.69943598179909,0.698865213336442,0.7047808370561957,0.6932885162484098,0.6431972966728281,0.6916886812045691,0.6935291300323925,0.6865398305084746,0.7006622019635343,0.6897785985502244,0.7030451272428756
4,0.8986000000000001,B2,0.7402842847075406,0.735361148057403,0.7347610631848916,0.7409805313896074,0.7288979299178907,0.6762338724584104,0.7272159224645207,0.7291509023600187,0.721802611085662,0.7366503506311362,0.7252077321366932,0.7391556702239944
5,0.8937,B3,0.7362475687103595,0.7313512775638783,0.7307544649102357,0.7369400188102517,0.7249233028796115,0.6725464186691312,0.7232504672897198,0.7251748958815365,0.7178666743014203,0.7326334502103787,0.7212532274767002,0.7351251084789493
6,0.9046,B4,0.7452272022551092,0.740271193559678,0.7396671018885521,0.7459280978133083,0.7337648201688447,0.6807491219963031,0.732071581862236,0.7340194817214253,0.7266221255153459,0.7415690042075735,0.7300499827407663,0.744091051952621
7,0.9037000000000001,B5,0.744485764622974,0.7395346867343369,0.7389311960830031,0.7451859628497531,0.7330347866312016,0.6800718345656193,0.7313432329525789,0.7332891948172143,0.7258991983508933,0.7408312061711081,0.7293236451501555,0.7433507446933272
8,0.8998,B6,0.7412728682170543,0.736343157157858,0.7357422709256237,0.7419700446743476,0.7298713079680814,0.6771369223659889,0.7281870543440637,0.7301246182323,0.7227665139715987,0.7376340813464236,0.7261761822575078,0.7401427465697198
9,0.8840000000000001,B7,0.7282565186751234,0.7234133706685335,0.722823035672651,0.7289414530919351,0.7170551636405691,0.665246765249538,0.7154004845967463,0.7173040259139288,0.7100751259734311,0.7246816269284713,0.7134249223334485,0.7271462413510028
10,0.9141,B8,0.753053488372093,0.7480454322716137,0.7474349965026813,0.7537617446508347,0.7414707297328553,0.6878982670979668,0.7397597092419522,0.7417280657103194,0.7342530233623454,0.7493568723702665,0.7377168795305489,0.7519054063562801
11,,T1,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
12,,T2,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
13,,T3,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
14,,T4,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
15,,T5,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
16,,T6,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
