,,max/min cap MWh per Day ,,"Installed capacity, MW",
,Bound,min,max,minMW(50%),maxMW
,B1,3486.69,6973.38,145.27875,290.5575
,B2,3486.69,6973.38,145.27875,290.5575
,B3,3486.69,6973.38,145.27875,290.5575
,B4,3486.69,6973.38,145.27875,290.5575
,B5,3486.69,6973.38,145.27875,290.5575
,B6,3486.69,6973.38,145.27875,290.5575
,B7,3486.69,6973.38,145.27875,290.5575
,B8,5550.810480000001,11101.620960000002,231.28377000000003,462.56754000000006
,T1,1584,2640,66,110
,T2,1584,2640,66,110
,T3,1584,2640,66,110
,T4,1584,2640,66,110
,T5,1728,2880,72,120
,T6,1584,2640,66,110
