"Coefficients, ranges of values and definitions of linear equations in the graph of heat load by x and steam flow by y.",,,,,,,,,"Coefficients, ranges and definitions of linear equations in the graph of power by x and steam flow by y.",,,,,,,,
Lines at heating water temperature:,k_HQ,b_HQ,H_lb,H_ub,Q_lb,Q_ub,,,Lines at heating water temperature:,k_EH,b_EH,E_lb,E_ub,Q_lb,Q_ub,,
75oС ,1.256634,23.4163,0,18.89415,23.908,47.1593,,,Kond.regime ,2.93142,23.3826,0,30.9203,23.3826,114.023,,
,1.793944,13.2643,18.89415,45.98765,47.1593,95.7635,,,Kond.regime ,3.30955,11.6907,30.9203,69.6201,114.023,242.102,,
,2.63428,-25.3809,45.98765,68.0785,95.7635,153.957,,,Kond.regime ,3.77379,-20.6297,69.6201,111.217,242.102,399.08,,Nomenclatures Description
,2.8508,-40.1205,68.0785,79.368,153.957,186.141,,,Kond.regime ,5.55876,-219.149,111.217,120.339,399.08,449.787,,lb = lower bound
,2.85806,-40.6973,79.368,87.963,186.141,210.706,,,75deg,3.70277,26.1948,0,51.74639,26.0099,217.8,,ub = upper bound
,2.65478,-22.816,87.963,115.574,210.706,284.007,,,75deg,3.8989,16.046,51.74639,76.34185,217.8,313.695,,x = E
,2.79176,-38.6482,115.574,186.1545,284.007,481.051,,,75deg,4.35116,-18.4806,76.34185,115.7401,313.695,485.123,,y = H
90oC,1.164746,27.6238,0,15.64445,28.5057,45.8456,,,90deg,3.61907,28.4823,0,23.0771,29.1626,112.184,,z = Q
,1.525074,21.9866,15.64445,28.5648,45.8456,65.5501,,,90deg,3.93333,21.214,23.0771,63.3717,112.184,270.476,,H = k_HQ*Q + b_HQ
,1.781708,14.6559,28.5648,38.8868,65.5501,83.9409,,,90deg,4.15801,6.97533,63.3717,91.9,270.476,389.097,,E = k_EH*Q + b_EH
,2.414678,-9.95747,38.8868,60.1035,83.9409,135.172,,,90deg,4.49528,24.0193,91.9,102.604,389.097,485.255,,
,2.88632,-38.3056,60.1035,74.2125,135.172,175.895,,,100deg,3.93177,34.1678,0,50.74754,34.4171,233.695,,Q - inlet steam energy
,2.61848,-18.4293,74.2125,115.701,175.895,284.532,,,100deg,4.3619,4.14883,84.24704,101.8192,371.626,463.317,,E- Electric Energy
100oC,1.253592,32.1855,0,15.61235,33.1034,51.757,,,100deg,4.47461,7.71601,101.8192,106.6631,463.317,484.992,,H-Heat energy
,1.525072,27.947,15.61235,27.24065,51.757,69.491,,,110oC,4.16125,37.9869,0,71.9382,37.8325,337.34,,
,1.94012,16.6408,27.24065,43.3551,69.491,100.755,,,110oC,4.3681,23.1071,71.9382,90.1324,337.34,416.814,,
,2.45814,-5.8177,43.3551,70.6095,100.755,167.75,,,110oC,4.62065,0.343567,90.1324,105.058,416.814,485.78,,
,2.58988,-15.1208,70.6095,115.701,167.75,284.532,,,120oC,4.30634,45.8186,0,56.5922,45.5829,289.524,,
,2.77962,-37.0736,115.701,171.656,284.532,440.066,,,120oC,4.48887,35.4891,56.5922,84.6857,289.524,415.632,,
110oC,1.3571,37.0494,0,17.1293,38.358,60.2956,,,120oC,4.57339,28.3316,84.6857,99.7942,415.632,484.729,,
,1.803736,29.3989,17.1293,39.706,60.2956,101.018,,,125oC,4.45127,49.7484,0,82.0797,49.5238,415.107,,
,2.33594,8.26756,39.706,69.6795,101.018,171.034,,,125oC,4.63998,34.2587,82.0797,97.0845,415.107,484.729,,
,2.57494,-8.38682,69.6795,104.6255,171.034,261.018,,,,,,,,,,,
,2.64704,-15.9289,104.6255,144.823,261.018,367.422,,,,,,,,,,,
,2.85536,-46.1006,144.823,184.848,367.422,481.708,,,,,,,,,,,
120oC,1.461026,44.5542,0,21.4737,45.7143,75.9278,,,,,,,,,,,
,1.91818,34.7374,21.4737,46.7441,75.9278,124.401,,,,,,,,,,,
,2.22368,20.4573,46.7441,58.9725,124.401,151.593,,,,,,,,,,,
,2.53704,1.97772,58.9725,129.6495,151.593,330.903,,,,,,,,,,,
,2.79336,-31.2553,129.6495,167.506,330.903,436.65,,,,,,,,,,,
,2.8133,-34.5956,167.506,183.2885,436.65,481.051,,,,,,,,,,,
125oC,1.51122,48.4875,0,24.67705,49.6552,85.78,,,,,,,,,,,
,1.955518,37.5236,24.67705,48.52445,85.78,132.414,,,,,,,,,,,
,2.38512,16.6778,48.52445,73.0885,132.414,191.002,,,,,,,,,,,
,2.54678,4.86148,73.0885,109.71,191.002,284.269,,,,,,,,,,,
,2.64664,-6.09397,109.71,150.807,284.269,393.038,,,,,,,,,,,
,2.81312,-31.2012,150.807,180.319,393.038,476.059,,,,,,,,,,,
