,,av.Eff of CHP,0.8231777777777778,0.8261055555555555,0.8264833333333333,0.827286111111111,0.8301666666666666,0.85,0.8425861111111111,0.8450416666666666,0.8360222222222222,0.8336611111111111,0.8324333333333334,0.8326222222222222
,av.Eff of Boilers,,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
,0.8547,B1,0.6989559997840348,0.6964788492188918,0.6961604952711287,0.6954849585156284,0.6930717285685606,0.6266235843137256,0.6828560773544411,0.6808718071101031,0.6882174078307328,0.6901665904744134,0.691184535298122,0.6910277329988257
,0.8547,B2,0.6989559997840348,0.6964788492188918,0.6961604952711287,0.6954849585156284,0.6930717285685606,0.6266235843137256,0.6828560773544411,0.6808718071101031,0.6882174078307328,0.6901665904744134,0.691184535298122,0.6910277329988257
,0.8937,B3,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,0.8937,B4,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,0.8937,B5,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,0.8937,B6,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,0.8937,B7,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,0.8937,B8,0.7308493939475744,0.7282592108891116,0.7279263304361855,0.727219968907707,0.7246966231680386,0.6552164470588236,0.7140148313228784,0.7119400187367488,0.7196207995534409,0.721658923490094,0.7227233171825572,0.7225593599871891
,,T1,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,T2,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,T3,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,T4,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,T5,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,T6,0.6,0.6,0.55,0.5,0.45,0.35,0.35,0.35,0.4,0.5,0.55,0.6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"RhoM (i,m)",See description in Kopanos et.al. (2018) https://doi.org/10.1016/j.enconman.2018.05.022  ,,,,,,,,,,,
,,,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
,,max,2.85,2.7,2.5,1.31,1,1,1,1,1,1.3082602242587886,2.7,2.85
,,min,0.9,0.9,0.8,0.53,0,0,0,0,0,0.5329870008148462,0.9,0.9
,,,,,,,,,,,,,, 
