datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,delta_e
2021-11-01 07:00:00,7.9,47.1,83.2,42.3,47.7,40.3,230.0
2021-11-01 08:00:00,8.6,46.7,78.5,41.8,46.6,41.0,170.0
2021-11-01 09:00:00,9.5,45.8,77.0,41.1,45.7,40.5,150.0
2021-11-01 10:00:00,10.9,45.2,74.0,40.6,45.1,40.3,150.0
2021-11-01 11:00:00,12.6,44.5,68.0,39.7,39.8,39.3,110.0
2021-11-01 12:00:00,14.6,44.0,35.2,38.5,35.5,34.3,0.0
2021-11-01 13:00:00,16.3,44.0,32.6,37.6,31.5,31.5,0.0
2021-11-01 14:00:00,16.8,44.0,30.4,36.5,27.7,29.5,0.0
2021-11-01 15:00:00,16.9,44.0,29.8,35.8,29.4,27.7,0.0
2021-11-01 16:00:00,16.6,44.0,29.8,34.8,29.7,26.7,0.0
2021-11-01 17:00:00,14.8,44.0,28.6,34.2,29.2,26.1,0.0
2021-11-01 18:00:00,13.8,44.0,74.7,33.1,38.2,29.9,80.0
2021-11-01 19:00:00,12.8,44.4,71.0,40.3,44.7,38.7,180.0
2021-11-01 20:00:00,12.1,44.8,70.0,40.7,45.1,40.0,150.0
2021-11-01 21:00:00,11.9,44.8,72.9,40.6,45.1,40.1,150.0
2021-11-01 22:00:00,11.4,45.0,72.3,40.4,41.6,39.9,140.0
2021-11-01 23:00:00,11.1,45.1,35.6,38.9,36.0,34.4,0.0
2021-11-02 00:00:00,10.8,45.2,33.4,37.9,32.9,32.8,0.0
2021-11-02 01:00:00,11.6,45.0,30.5,36.8,28.0,28.1,0.0
2021-11-02 02:00:00,11.9,44.8,30.3,36.0,30.6,27.3,0.0
2021-11-02 03:00:00,12.6,44.6,30.2,35.2,30.7,26.8,0.0
2021-11-02 04:00:00,13.3,44.2,29.8,35.2,30.7,26.1,0.0
2021-11-02 05:00:00,13.3,44.2,29.9,35.3,30.2,25.7,0.0
2021-11-02 06:00:00,13.5,45.1,72.8,30.3,35.3,27.2,0.0
2021-11-02 07:00:00,13.9,45.0,74.3,40.7,45.3,38.4,210.0
2021-11-02 08:00:00,13.5,45.1,74.9,40.9,45.3,40.4,150.0
2021-11-02 09:00:00,12.9,45.3,73.0,40.5,45.0,39.9,140.0
2021-11-02 10:00:00,13.0,45.3,72.7,41.1,45.6,40.4,150.0
2021-11-02 11:00:00,13.6,45.1,71.4,41.0,45.4,40.4,150.0
2021-11-02 12:00:00,14.0,45.0,71.3,40.8,45.2,40.3,140.0
2021-11-02 13:00:00,14.4,45.0,56.0,39.0,35.8,34.0,0.0
2021-11-02 14:00:00,15.1,45.0,51.0,37.2,40.4,37.4,120.0
2021-11-02 15:00:00,15.5,45.0,42.6,34.4,37.2,35.4,70.0
2021-11-02 16:00:00,15.4,45.0,59.9,35.4,39.0,34.3,60.0
2021-11-02 17:00:00,15.2,45.0,60.3,37.7,41.4,37.4,130.0
2021-11-02 18:00:00,15.1,45.0,71.4,41.3,45.5,40.5,160.0
2021-11-02 19:00:00,14.9,45.0,71.6,41.0,45.2,40.5,140.0
2021-11-02 20:00:00,14.6,45.0,73.4,41.0,45.6,40.6,140.0
2021-11-02 21:00:00,14.4,45.0,72.8,41.0,45.4,40.7,140.0
2021-11-02 22:00:00,13.1,45.2,40.7,40.0,37.5,35.3,0.0
2021-11-02 23:00:00,12.3,45.4,34.6,38.8,34.6,33.7,0.0
2021-11-03 00:00:00,11.7,45.6,31.6,37.7,29.0,29.4,0.0
2021-11-03 01:00:00,11.3,45.8,29.9,35.4,27.3,28.1,0.0
2021-11-03 02:00:00,10.6,45.9,29.7,35.7,30.3,27.5,0.0
2021-11-03 03:00:00,10.1,46.1,28.8,34.2,27.0,26.7,0.0
2021-11-03 04:00:00,10.0,46.1,28.6,34.0,28.9,26.0,0.0
2021-11-03 05:00:00,10.1,46.0,28.0,33.2,28.0,25.5,0.0
2021-11-03 06:00:00,9.6,46.3,50.0,30.2,38.1,27.2,40.0
2021-11-03 07:00:00,9.6,46.2,74.8,39.8,44.5,37.2,180.0
2021-11-03 08:00:00,10.9,45.9,78.6,41.7,46.5,40.9,180.0
2021-11-03 09:00:00,12.9,45.3,74.8,41.2,45.7,40.5,140.0
2021-11-03 10:00:00,14.0,45.0,35.5,39.8,37.4,35.1,50.0
2021-11-03 11:00:00,15.0,45.0,34.3,38.7,34.5,33.6,0.0
2021-11-03 12:00:00,16.4,45.0,31.3,37.7,29.2,29.1,0.0
2021-11-03 13:00:00,17.7,45.0,30.5,36.8,28.4,27.6,0.0
2021-11-03 14:00:00,18.7,45.0,30.4,36.0,31.1,26.9,0.0
2021-11-03 15:00:00,18.7,45.0,30.3,35.4,30.2,26.3,0.0
2021-11-03 16:00:00,18.0,45.0,29.9,35.1,29.9,26.1,0.0
2021-11-03 17:00:00,16.9,45.0,29.5,34.8,29.6,25.6,0.0
2021-11-03 18:00:00,16.8,45.0,29.7,35.0,30.0,25.4,0.0
2021-11-03 19:00:00,16.2,43.0,64.9,29.6,33.6,27.2,40.0
2021-11-03 20:00:00,16.5,43.0,71.2,39.4,43.7,38.3,190.0
2021-11-03 21:00:00,16.2,43.0,70.5,38.7,43.0,38.7,130.0
2021-11-03 22:00:00,16.0,43.0,67.2,38.1,38.9,38.4,100.0
2021-11-03 23:00:00,16.1,43.0,34.8,37.1,35.3,34.0,0.0
2021-11-04 00:00:00,16.5,43.0,31.9,36.1,30.4,30.7,0.0
2021-11-04 01:00:00,17.2,43.0,29.4,35.1,27.9,28.9,0.0
2021-11-04 02:00:00,16.5,43.0,29.7,34.4,30.4,27.6,0.0
2021-11-04 03:00:00,15.9,43.0,29.4,33.6,30.0,27.0,0.0
2021-11-04 04:00:00,15.8,43.0,28.6,33.0,29.4,26.6,0.0
2021-11-04 05:00:00,16.0,43.0,28.7,32.8,29.6,26.1,0.0
2021-11-04 06:00:00,15.7,43.0,59.8,27.8,31.6,26.9,0.0
2021-11-04 07:00:00,15.7,43.0,72.7,39.3,43.8,38.1,200.0
2021-11-04 08:00:00,17.8,43.0,69.8,38.5,39.2,38.5,120.0
2021-11-04 09:00:00,19.4,43.0,35.4,37.4,35.7,34.1,0.0
2021-11-04 10:00:00,21.7,43.0,32.3,36.4,31.0,31.2,0.0
2021-11-04 11:00:00,22.6,43.0,29.6,35.5,28.2,28.1,0.0
2021-11-04 12:00:00,23.8,43.0,30.2,34.7,31.3,27.5,0.0
2021-11-04 13:00:00,24.4,43.0,29.9,34.0,30.8,27.2,0.0
2021-11-04 14:00:00,24.2,43.0,29.5,33.3,30.3,26.7,0.0
2021-11-04 15:00:00,24.0,43.0,29.1,33.0,30.0,26.3,0.0
2021-11-04 16:00:00,23.3,43.0,29.0,32.8,29.8,26.1,0.0
2021-11-04 17:00:00,22.4,43.0,29.3,33.1,30.3,26.0,0.0
2021-11-04 18:00:00,21.5,43.0,29.1,32.9,30.2,25.9,0.0
2021-11-04 19:00:00,20.5,43.0,28.9,32.6,29.7,25.8,0.0
2021-11-04 20:00:00,20.1,43.0,28.7,32.3,29.8,25.9,0.0
2021-11-04 21:00:00,19.8,43.0,28.5,32.0,29.4,25.8,0.0
2021-11-04 22:00:00,19.2,43.0,28.2,31.6,29.2,25.6,0.0
2021-11-04 23:00:00,18.6,43.0,28.1,31.4,29.2,25.5,0.0
2021-11-05 00:00:00,17.9,43.0,27.9,31.0,29.0,25.5,0.0
2021-11-05 01:00:00,17.4,43.0,27.6,30.7,28.7,25.4,0.0
2021-11-05 02:00:00,16.6,43.0,27.3,30.3,28.5,25.4,0.0
2021-11-05 03:00:00,15.9,43.0,27.0,30.0,28.1,25.2,0.0
2021-11-05 04:00:00,16.0,43.0,26.7,29.6,27.8,25.0,0.0
2021-11-05 05:00:00,15.7,43.0,26.3,29.2,27.5,24.9,0.0
2021-11-05 06:00:00,15.3,43.0,43.3,36.9,33.9,24.7,0.0
2021-11-05 07:00:00,15.7,45.0,65.8,36.8,41.1,34.7,160.0
2021-11-05 08:00:00,17.0,45.0,68.6,40.6,40.4,39.7,150.0
2021-11-05 09:00:00,19.0,45.0,35.8,39.1,35.8,34.0,0.0
2021-11-05 10:00:00,19.5,45.0,32.8,38.0,31.2,30.8,0.0
2021-11-05 11:00:00,21.3,45.0,30.4,37.0,29.1,28.4,0.0
2021-11-05 12:00:00,22.3,45.0,30.8,36.2,30.2,27.5,0.0
2021-11-05 13:00:00,22.9,45.0,30.2,35.6,31.0,26.9,0.0
2021-11-05 14:00:00,23.2,45.0,30.6,35.2,31.1,26.5,0.0
2021-11-05 15:00:00,23.4,45.0,30.3,34.9,30.8,26.4,0.0
2021-11-05 16:00:00,21.6,45.0,30.2,34.9,30.7,26.3,0.0
2021-11-05 17:00:00,20.4,45.0,30.1,34.9,30.6,26.2,0.0
2021-11-05 18:00:00,19.8,45.0,29.0,33.3,30.2,26.1,0.0
2021-11-05 19:00:00,19.1,45.0,51.6,31.5,33.1,26.7,0.0
2021-11-05 20:00:00,19.2,45.0,70.2,40.0,44.3,38.1,190.0
2021-11-05 21:00:00,18.5,45.0,71.1,41.0,45.4,40.1,150.0
2021-11-05 22:00:00,16.9,45.0,36.2,39.5,36.3,34.4,0.0
2021-11-05 23:00:00,15.6,45.0,33.2,38.3,32.6,32.8,0.0
2021-11-06 00:00:00,14.8,45.0,30.8,37.2,29.1,28.5,0.0
2021-11-06 01:00:00,14.5,45.0,30.7,36.4,30.5,27.4,0.0
2021-11-06 02:00:00,14.6,45.0,30.1,35.7,29.1,26.8,0.0
2021-11-06 03:00:00,14.2,45.0,30.2,35.3,31.0,26.4,0.0
2021-11-06 04:00:00,13.9,45.0,30.0,35.0,30.3,26.0,0.0
2021-11-06 05:00:00,13.8,45.0,29.8,35.0,30.1,25.6,0.0
2021-11-06 06:00:00,13.3,45.1,29.2,29.0,31.6,25.3,0.0
2021-11-06 07:00:00,13.1,45.2,76.4,40.1,44.7,37.8,200.0
2021-11-06 08:00:00,13.7,45.0,74.6,40.9,45.4,40.3,160.0
2021-11-06 09:00:00,14.1,45.0,72.7,40.2,44.6,39.9,140.0
2021-11-06 10:00:00,14.5,45.0,73.3,40.1,44.6,39.7,130.0
2021-11-06 11:00:00,14.6,45.0,71.5,39.8,40.3,39.5,130.0
2021-11-06 12:00:00,15.4,45.0,37.8,39.1,36.3,36.1,80.0
2021-11-06 13:00:00,15.8,45.0,34.2,37.3,33.3,33.5,0.0
2021-11-06 14:00:00,15.6,45.0,31.6,35.4,29.7,31.0,0.0
2021-11-06 15:00:00,15.2,45.0,29.0,34.0,27.2,27.7,0.0
2021-11-06 16:00:00,14.7,44.0,73.9,37.0,41.7,34.8,130.0
2021-11-06 17:00:00,13.9,44.0,72.2,39.9,44.2,39.6,160.0
2021-11-06 18:00:00,13.6,44.2,72.1,39.7,44.1,39.5,130.0
2021-11-06 19:00:00,13.5,44.2,73.9,39.8,44.3,39.5,130.0
2021-11-06 20:00:00,9.9,43.1,75.3,39.2,43.6,39.5,130.0
2021-11-06 21:00:00,9.6,43.3,73.0,38.5,42.9,38.6,110.0
2021-11-06 22:00:00,9.7,43.4,71.9,39.2,39.7,39.1,110.0
2021-11-06 23:00:00,9.8,43.2,35.4,38.0,35.7,34.2,0.0
2021-11-07 00:00:00,9.6,43.4,33.1,36.9,31.9,32.7,0.0
2021-11-07 01:00:00,9.5,43.4,30.1,35.9,28.4,28.5,0.0
2021-11-07 02:00:00,9.3,43.7,30.2,35.0,30.9,27.7,0.0
2021-11-07 03:00:00,9.2,43.6,29.7,34.3,30.5,27.2,0.0
2021-11-07 04:00:00,8.9,43.8,29.3,33.9,29.5,26.4,0.0
2021-11-07 05:00:00,8.9,43.9,29.1,33.9,29.4,25.9,0.0
2021-11-07 06:00:00,9.1,43.8,64.0,35.3,35.8,25.8,0.0
2021-11-07 07:00:00,9.3,43.8,77.2,40.0,44.7,38.6,210.0
2021-11-07 08:00:00,9.7,43.4,72.7,38.7,43.2,38.8,130.0
2021-11-07 09:00:00,10.8,42.4,70.0,38.2,42.5,38.4,120.0
2021-11-07 10:00:00,12.3,41.3,39.3,37.2,36.5,34.7,40.0
2021-11-07 11:00:00,13.3,40.6,33.2,36.2,33.5,33.2,0.0
2021-11-07 12:00:00,14.2,40.0,30.3,35.2,28.4,28.9,0.0
2021-11-07 13:00:00,14.2,40.0,29.0,34.4,28.5,28.4,0.0
2021-11-07 14:00:00,14.0,40.0,29.4,33.7,30.0,27.0,0.0
