Metric,Full-horizon UC,MPC,MPC-UC
Total operating cost,637326.874371972,591475.6259047837,-45851.24846718833
CHP cost,243003.78081562865,309187.6966109644,66183.91579533578
Boiler cost,329197.6529127786,252131.56542193054,-77066.08749084806
Dump penalty cost,10354.638318313153,15431.994107263034,5077.355788949881
Curtailment penalty cost,0.0,0.0,0.0
Import cost,98800.04160957124,98604.77132683256,-195.270282738682
Export revenue,49077.6058294853,88951.48173319014,39873.875903704844
Start-up cost,5000.0,5000.0,0.0
Shut-down cost,0.0,0.0,0.0
Storage cycling cost,48.36654516563889,71.0801709833052,22.713625817666305
